exposure,exposure_label,outcome,icd_class,icd_class_short,spearman_rho,p_value,n_municipalities
pharmacy_per_10k,Аптеки на 10 тыс.,IX_pooled_asmr_per100k,IX,Кровообращение,0.4272681718667914,0.0769708824818671,18
pharmacy_per_10k,Аптеки на 10 тыс.,II_pooled_asmr_per100k,II,Новообразования,0.46988843838716965,0.04911107890992477,18
pharmacy_per_10k,Аптеки на 10 тыс.,XIX_pooled_asmr_per100k,XIX,Травмы и отравления,0.2972763589796379,0.23091247498153128,18
pharmacy_per_10k,Аптеки на 10 тыс.,IV_pooled_asmr_per100k,IV,Эндокринные и обмен,0.05753735980251056,0.8206006706486277,18
pharmacy_per_10k,Аптеки на 10 тыс.,X_pooled_asmr_per100k,X,Дыхание,0.4219406385517441,0.08113367592092306,18
pharmacy_per_10k,Аптеки на 10 тыс.,XI_pooled_asmr_per100k,XI,Пищеварение,0.5348843448307463,0.022185929952594705,18
pharmacy_distance_index,Удаленность аптек,IX_pooled_asmr_per100k,IX,Кровообращение,0.06086901999834038,0.8103865164507544,18
pharmacy_distance_index,Удаленность аптек,II_pooled_asmr_per100k,II,Новообразования,-0.3935496982651317,0.10613527548795365,18
pharmacy_distance_index,Удаленность аптек,XIX_pooled_asmr_per100k,XIX,Травмы и отравления,-0.20674477482194922,0.4104386764036385,18
pharmacy_distance_index,Удаленность аптек,IV_pooled_asmr_per100k,IV,Эндокринные и обмен,0.10494658620403512,0.6785568129335827,18
pharmacy_distance_index,Удаленность аптек,X_pooled_asmr_per100k,X,Дыхание,-0.3515710637835177,0.15252842904135727,18
pharmacy_distance_index,Удаленность аптек,XI_pooled_asmr_per100k,XI,Пищеварение,-0.1311832327550439,0.6038593990371712,18
hospital_distance_index,Удаленность больниц,IX_pooled_asmr_per100k,IX,Кровообращение,0.11461023726611878,0.6506647807754702,18
hospital_distance_index,Удаленность больниц,II_pooled_asmr_per100k,II,Новообразования,0.055756331642976706,0.8260723139523426,18
hospital_distance_index,Удаленность больниц,XIX_pooled_asmr_per100k,XIX,Травмы и отравления,0.34589576111846665,0.15972305417747465,18
hospital_distance_index,Удаленность больниц,IV_pooled_asmr_per100k,IV,Эндокринные и обмен,0.10944761396584317,0.6655134509906173,18
hospital_distance_index,Удаленность больниц,X_pooled_asmr_per100k,X,Дыхание,0.2849768061752143,0.25170346503784063,18
hospital_distance_index,Удаленность больниц,XI_pooled_asmr_per100k,XI,Пищеварение,0.09808984270523681,0.6985938127083664,18
food_store_per_10k,Продуктовые магазины на 10 тыс.,IX_pooled_asmr_per100k,IX,Кровообращение,0.48194014447884415,0.0428358312469992,18
food_store_per_10k,Продуктовые магазины на 10 тыс.,II_pooled_asmr_per100k,II,Новообразования,0.3353973168214654,0.17363506116754218,18
food_store_per_10k,Продуктовые магазины на 10 тыс.,XIX_pooled_asmr_per100k,XIX,Травмы и отравления,0.2239422084623323,0.37168616375621744,18
food_store_per_10k,Продуктовые магазины на 10 тыс.,IV_pooled_asmr_per100k,IV,Эндокринные и обмен,-0.07946336429308565,0.7539561864360347,18
food_store_per_10k,Продуктовые магазины на 10 тыс.,X_pooled_asmr_per100k,X,Дыхание,0.27966976264189886,0.2610264770684414,18
food_store_per_10k,Продуктовые магазины на 10 тыс.,XI_pooled_asmr_per100k,XI,Пищеварение,0.3828689370485036,0.11683232301276766,18
tobacco_store_per_10k,Табачные точки на 10 тыс.,IX_pooled_asmr_per100k,IX,Кровообращение,-0.08062612547368442,0.7504634326333423,18
tobacco_store_per_10k,Табачные точки на 10 тыс.,II_pooled_asmr_per100k,II,Новообразования,0.0739993206402309,0.7704292292036183,18
tobacco_store_per_10k,Табачные точки на 10 тыс.,XIX_pooled_asmr_per100k,XIX,Травмы и отравления,-0.059641243501081624,0.8141473141270257,18
tobacco_store_per_10k,Табачные точки на 10 тыс.,IV_pooled_asmr_per100k,IV,Эндокринные и обмен,-0.30151961992213494,0.22400349018769974,18
tobacco_store_per_10k,Табачные точки на 10 тыс.,X_pooled_asmr_per100k,X,Дыхание,-0.0231938169170873,0.9272143319356012,18
tobacco_store_per_10k,Табачные точки на 10 тыс.,XI_pooled_asmr_per100k,XI,Пищеварение,0.1281182267801013,0.6124122774365692,18
