icd_class,icd_class_short,age_band,deaths,total_deaths,share_within_class
I,Инфекционные болезни,0-17,12,730,0.01643835616438356
I,Инфекционные болезни,18-44,300,730,0.410958904109589
I,Инфекционные болезни,45-64,299,730,0.4095890410958904
I,Инфекционные болезни,65-79,94,730,0.12876712328767123
I,Инфекционные болезни,80+,25,730,0.03424657534246575
II,Новообразования,0-17,14,11353,0.0012331542323614903
II,Новообразования,18-44,454,11353,0.03998943010657976
II,Новообразования,45-64,4065,11353,0.3580551396106756
II,Новообразования,65-79,5423,11353,0.4776711001497402
II,Новообразования,80+,1397,11353,0.123051175900643
III,Кровь и иммунитет,0-17,1,71,0.014084507042253521
III,Кровь и иммунитет,18-44,5,71,0.07042253521126761
III,Кровь и иммунитет,45-64,16,71,0.22535211267605634
III,Кровь и иммунитет,65-79,35,71,0.49295774647887325
III,Кровь и иммунитет,80+,14,71,0.19718309859154928
IV,Эндокринные и обмен,0-17,7,3183,0.002199183160540371
IV,Эндокринные и обмен,18-44,60,3183,0.01885014137606032
IV,Эндокринные и обмен,45-64,591,3183,0.18567389255419417
IV,Эндокринные и обмен,65-79,1729,3183,0.5431982406534716
IV,Эндокринные и обмен,80+,796,3183,0.25007854225573356
IX,Кровообращение,0-17,7,17233,0.0004061974119422039
IX,Кровообращение,18-44,832,17233,0.04827946381941624
IX,Кровообращение,45-64,4919,17233,0.2854407241919573
IX,Кровообращение,65-79,6893,17233,0.39998839435965877
IX,Кровообращение,80+,4582,17233,0.2658852202170255
V,Психические расстройства,18-44,14,405,0.0345679012345679
V,Психические расстройства,45-64,90,405,0.2222222222222222
V,Психические расстройства,65-79,136,405,0.3358024691358025
V,Психические расстройства,80+,165,405,0.4074074074074074
VI,Нервная система,0-17,33,5110,0.006457925636007828
VI,Нервная система,18-44,137,5110,0.02681017612524462
VI,Нервная система,45-64,712,5110,0.13933463796477494
VI,Нервная система,65-79,1886,5110,0.3690802348336595
VI,Нервная система,80+,2342,5110,0.4583170254403131
VIII,Ухо,18-44,2,10,0.2
VIII,Ухо,45-64,4,10,0.4
VIII,Ухо,65-79,3,10,0.3
VIII,Ухо,80+,1,10,0.1
X,Дыхание,0-17,23,4215,0.005456702253855279
X,Дыхание,18-44,300,4215,0.0711743772241993
X,Дыхание,45-64,1240,4215,0.2941874258600237
X,Дыхание,65-79,1835,4215,0.43534994068801897
X,Дыхание,80+,817,4215,0.19383155397390273
XI,Пищеварение,0-17,3,6883,0.0004358564579398518
XI,Пищеварение,18-44,907,6883,0.1317739357838152
XI,Пищеварение,45-64,2974,6883,0.4320790353043731
XI,Пищеварение,65-79,1996,6883,0.2899898300159814
XI,Пищеварение,80+,1003,6883,0.14572134243789045
XII,Кожа,0-17,1,154,0.006493506493506494
XII,Кожа,18-44,20,154,0.12987012987012986
XII,Кожа,45-64,46,154,0.2987012987012987
XII,Кожа,65-79,60,154,0.38961038961038963
XII,Кожа,80+,27,154,0.17532467532467533
XIII,Костно-мышечные,18-44,24,277,0.08664259927797834
XIII,Костно-мышечные,45-64,82,277,0.296028880866426
XIII,Костно-мышечные,65-79,127,277,0.4584837545126354
XIII,Костно-мышечные,80+,44,277,0.1588447653429603
XIV,Мочеполовая система,0-17,1,3063,0.000326477309826967
XIV,Мочеполовая система,18-44,67,3063,0.02187397975840679
XIV,Мочеполовая система,45-64,450,3063,0.14691478942213515
XIV,Мочеполовая система,65-79,1251,3063,0.40842311459353575
XIV,Мочеполовая система,80+,1294,3063,0.42246163891609534
XIX,Травмы и отравления,0-17,159,9054,0.01756129887342611
XIX,Травмы и отравления,18-44,4286,9054,0.47338193063839185
XIX,Травмы и отравления,45-64,3212,9054,0.35476032692732495
XIX,Травмы и отравления,65-79,1000,9054,0.1104484205875856
XIX,Травмы и отравления,80+,393,9054,0.04340622929092114
XIX,Травмы и отравления,Возраст неизвестен,4,9054,0.0004417936823503424
XV,Беременность и роды,0-17,1,11,0.09090909090909091
XV,Беременность и роды,18-44,10,11,0.9090909090909091
XVI,Перинатальные состояния,0-17,170,170,1.0
XVII,Врожденные аномалии,0-17,47,100,0.47
XVII,Врожденные аномалии,18-44,16,100,0.16
XVII,Врожденные аномалии,45-64,20,100,0.2
XVII,Врожденные аномалии,65-79,14,100,0.14
XVII,Врожденные аномалии,80+,3,100,0.03
XVIII,Симптомы и неточные причины,0-17,17,1852,0.0091792656587473
XVIII,Симптомы и неточные причины,18-44,350,1852,0.18898488120950324
XVIII,Симптомы и неточные причины,45-64,799,1852,0.4314254859611231
XVIII,Симптомы и неточные причины,65-79,532,1852,0.28725701943844495
XVIII,Симптомы и неточные причины,80+,148,1852,0.07991360691144708
XVIII,Симптомы и неточные причины,Возраст неизвестен,6,1852,0.0032397408207343412
XXII,Специальные коды,0-17,1,803,0.0012453300124533001
XXII,Специальные коды,18-44,15,803,0.0186799501867995
XXII,Специальные коды,45-64,175,803,0.21793275217932753
XXII,Специальные коды,65-79,382,803,0.47571606475716066
XXII,Специальные коды,80+,230,803,0.286425902864259
