icd_class,icd_class_short,icd_class_label,icd_class_order,total_deaths,mean_age,median_age,male_deaths,female_deaths,age_0_17,age_18_44,age_45_64,age_65_79,age_80_plus,share_total,male_share,female_share,age_65_plus_share,age_18_64_share,deaths_2016,deaths_2020,deaths_2021,deaths_2025,share_2016,share_2025,delta_deaths_2016_2025,delta_share_pp_2016_2025
I,Инфекционные болезни,Некоторые инфекционные и паразитарные болезни,1,730,48.90547945205479,47.0,469,261,12,300,299,94,25,0.011286856224005442,0.6424657534246575,0.35753424657534244,0.16301369863013698,0.8205479452054795,71,89,76,49,0.011079900124843944,0.007415254237288136,-22,-0.36646458875558086
II,Новообразования,Новообразования,2,11353,66.41389940984762,67.0,6249,5104,14,454,4065,5423,1397,0.17553380645360792,0.5504271998590681,0.4495728001409319,0.6007222760503832,0.3980445697172553,1155,1157,1094,1102,0.1802434456928839,0.16676755447941888,-53,-1.3475891213465014
III,Кровь и иммунитет,Болезни крови и иммунного механизма,3,71,67.6056338028169,69.0,28,43,1,5,16,35,14,0.0010977627286361457,0.39436619718309857,0.6056338028169014,0.6901408450704225,0.29577464788732394,2,17,4,1,0.00031210986267166043,0.0001513317191283293,-1,-0.01607781435433311
IV,Эндокринные и обмен,"Болезни эндокринной системы, расстройства питания и обмена веществ",4,3183,71.60414703110273,72.0,1038,2145,7,60,591,1729,796,0.04921378542604017,0.32610744580584355,0.6738925541941565,0.7932767829092051,0.20452403393025448,85,446,408,338,0.013264669163545567,0.0511501210653753,253,3.7885451901829734
V,Психические расстройства,Психические расстройства и расстройства поведения,5,405,73.38271604938272,76.0,176,229,0,14,90,136,165,0.006261885987290691,0.4345679012345679,0.5654320987654321,0.7432098765432099,0.25679012345679014,15,80,9,0,0.0023408239700374533,0.0,-15,-0.23408239700374533
VI,Нервная система,Болезни нервной системы,6,5110,75.46262230919766,78.0,2011,3099,33,137,712,1886,2342,0.0790079935680381,0.3935420743639922,0.6064579256360079,0.8273972602739726,0.16614481409001958,65,623,676,529,0.010143570536828964,0.0800544794188862,464,6.991090888205724
VIII,Ухо,Болезни уха и сосцевидного отростка,8,10,58.7,57.5,6,4,0,2,4,3,1,0.00015461446882199237,0.6,0.4,0.4,0.6,0,2,1,2,0.0,0.0003026634382566586,2,0.03026634382566586
IX,Кровообращение,Болезни системы кровообращения,9,17233,69.51006789299599,70.0,9127,8106,7,832,4919,6893,4582,0.2664471141209394,0.5296233969709279,0.47037660302907214,0.6658736145766843,0.33372018801137354,2869,1628,1509,1590,0.4477215980024969,0.2406174334140436,-1279,-20.71041645884533
X,Дыхание,Болезни органов дыхания,10,4215,66.91838671411625,68.0,2622,1593,23,300,1240,1835,817,0.06516999860846978,0.6220640569395017,0.3779359430604982,0.6291814946619217,0.365361803084223,447,395,886,384,0.06975655430711611,0.05811138014527845,-63,-1.1645174161837655
XI,Пищеварение,Болезни органов пищеварения,11,6883,62.07642016562546,62.0,3678,3205,3,907,2974,1996,1003,0.10642113889017735,0.5343600174342583,0.4656399825657417,0.43571117245387186,0.5638529710881883,577,829,842,673,0.09004369538077403,0.10184624697336561,96,1.1802551592591581
XII,Кожа,Болезни кожи и подкожной клетчатки,12,154,64.67532467532467,67.0,59,95,1,20,46,60,27,0.0023810628198586824,0.38311688311688313,0.6168831168831169,0.564935064935065,0.42857142857142855,7,24,19,17,0.0010923845193508116,0.002572639225181598,10,0.14802547058307863
XIII,Костно-мышечные,Болезни костно-мышечной системы и соединительной ткани,13,277,66.68592057761732,68.0,97,180,0,24,82,127,44,0.004282820786369188,0.35018050541516244,0.6498194945848376,0.6173285198555957,0.38267148014440433,10,43,45,23,0.001560549313358302,0.0034806295399515737,13,0.19200802265932718
XIV,Мочеполовая система,Болезни мочеполовой системы,14,3063,75.23702252693438,76.0,1332,1731,1,67,450,1251,1294,0.04735841180017626,0.4348677766895201,0.56513222331048,0.8308847535096311,0.16878876918054195,107,344,377,396,0.016697877652933832,0.0599273607748184,289,4.322948312188457
XV,Беременность и роды,"Беременность, роды и послеродовой период",15,11,29.636363636363637,31.0,0,11,1,10,0,0,0,0.0001700759157041916,0.0,1.0,0.0,0.9090909090909091,2,0,0,1,0.00031210986267166043,0.0001513317191283293,-1,-0.01607781435433311
XVI,Перинатальные состояния,"Отдельные состояния, возникающие в перинатальном периоде",16,170,0.0,0.0,84,86,170,0,0,0,0,0.00262844596997387,0.49411764705882355,0.5058823529411764,0.0,0.0,11,11,10,26,0.0017166042446941324,0.003934624697336562,15,0.221802045264243
XVII,Врожденные аномалии,"Врожденные аномалии, деформации и хромосомные нарушения",17,100,28.76,24.0,55,45,47,16,20,14,3,0.0015461446882199237,0.55,0.45,0.17,0.36,18,14,11,7,0.0028089887640449437,0.001059322033898305,-11,-0.17496667301466387
XVIII,Симптомы и неточные причины,"Симптомы, признаки и отклонения от нормы, не классифицированные в других рубриках",18,1852,58.17551462621885,59.0,1371,480,17,350,799,532,148,0.028634599625832986,0.740280777537797,0.2591792656587473,0.367170626349892,0.6204103671706264,180,193,190,193,0.028089887640449437,0.029207021791767554,13,0.11171341513181166
XIX,Травмы и отравления,"Травмы, отравления и некоторые другие последствия воздействия внешних причин",19,9054,46.74033149171271,45.0,7392,1662,159,4286,3212,1000,393,0.1399879400714319,0.8164347249834327,0.18356527501656728,0.15385464987850675,0.8281422575657168,787,790,795,1275,0.12281523096129837,0.19294794188861986,488,7.013271092732149
XXII,Специальные коды,Коды для специальных целей,22,803,71.8318804483188,72.0,337,466,1,15,175,382,230,0.012415541846405987,0.41967621419676215,0.5803237858032378,0.7621419676214197,0.23661270236612703,0,18,483,2,0.0,0.0003026634382566586,2,0.03026634382566586
