year,primary_group,deaths,population,asmr_per100k,population_status,crude_rate_per100k
2016,Алкогольная дегенерация нервной системы (G31.2),1,482192.0,0.20738626936987747,точный,0.20738626936987758
2016,Алкогольная кардиомиопатия (I42.6),46,482192.0,9.539768391014363,точный,9.539768391014368
2016,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,точный,0.0
2016,Острое токсическое действие алкоголя (T51),95,482192.0,19.701695590138357,точный,19.701695590138367
2016,Психические и поведенческие расстройства вследствие алкоголя (F10),1,482192.0,0.20738626936987756,точный,0.20738626936987758
2017,Алкогольная дегенерация нервной системы (G31.2),17,482192.0,3.5255665792879167,интерполяция,3.525566579287918
2017,Алкогольная кардиомиопатия (I42.6),19,482192.0,3.940339118027672,интерполяция,3.9403391180276737
2017,Алкогольная полинейропатия (G62.1),1,482192.0,0.20738626936987747,интерполяция,0.20738626936987758
2017,Острое токсическое действие алкоголя (T51),83,482192.0,17.213060357699828,интерполяция,17.213060357699838
2017,Психические и поведенческие расстройства вследствие алкоголя (F10),64,482192.0,13.272721239672157,интерполяция,13.272721239672165
2018,Алкогольная дегенерация нервной системы (G31.2),33,482192.0,6.843746889205955,интерполяция,6.843746889205959
2018,Алкогольная кардиомиопатия (I42.6),23,482192.0,4.7698841955071805,интерполяция,4.769884195507184
2018,Алкогольная полинейропатия (G62.1),1,482192.0,0.20738626936987714,интерполяция,0.20738626936987758
2018,Острое токсическое действие алкоголя (T51),108,482192.0,22.397717091946763,интерполяция,22.397717091946777
2018,Психические и поведенческие расстройства вследствие алкоголя (F10),16,482192.0,3.3181803099180396,интерполяция,3.3181803099180414
2019,Алкогольная дегенерация нервной системы (G31.2),37,482192.0,7.673291966685467,интерполяция,7.67329196668547
2019,Алкогольная кардиомиопатия (I42.6),23,482192.0,4.769884195507181,интерполяция,4.769884195507184
2019,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,интерполяция,0.0
2019,Острое токсическое действие алкоголя (T51),114,482192.0,23.64203470816603,интерполяция,23.64203470816604
2019,Психические и поведенческие расстройства вследствие алкоголя (F10),5,482192.0,1.0369313468493873,интерполяция,1.036931346849388
2020,Алкогольная дегенерация нервной системы (G31.2),37,482192.0,7.673291966685464,точный,7.67329196668547
2020,Алкогольная кардиомиопатия (I42.6),33,482192.0,6.8437468892059545,точный,6.843746889205959
2020,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,точный,0.0
2020,Острое токсическое действие алкоголя (T51),109,482192.0,22.60510336131664,точный,22.605103361316655
2020,Психические и поведенческие расстройства вследствие алкоголя (F10),1,482192.0,0.20738626936987745,точный,0.20738626936987758
2021,Алкогольная дегенерация нервной системы (G31.2),33,482192.0,6.843746889205955,интерполяция,6.843746889205959
2021,Алкогольная кардиомиопатия (I42.6),29,482192.0,6.014201811726446,интерполяция,6.0142018117264495
2021,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,интерполяция,0.0
2021,Острое токсическое действие алкоголя (T51),95,482192.0,19.701695590138357,интерполяция,19.701695590138367
2021,Психические и поведенческие расстройства вследствие алкоголя (F10),0,482192.0,0.0,интерполяция,0.0
2022,Алкогольная дегенерация нервной системы (G31.2),32,482192.0,6.636360619836078,интерполяция,6.636360619836083
2022,Алкогольная кардиомиопатия (I42.6),27,482192.0,5.599429272986692,интерполяция,5.599429272986694
2022,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,интерполяция,0.0
2022,Острое токсическое действие алкоголя (T51),68,482192.0,14.102266317151665,интерполяция,14.102266317151672
2022,Психические и поведенческие расстройства вследствие алкоголя (F10),0,482192.0,0.0,интерполяция,0.0
2023,Алкогольная дегенерация нервной системы (G31.2),23,482192.0,4.7698841955071805,интерполяция,4.769884195507184
2023,Алкогольная кардиомиопатия (I42.6),34,482192.0,7.0511331585758334,интерполяция,7.051133158575836
2023,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,интерполяция,0.0
2023,Острое токсическое действие алкоголя (T51),99,482192.0,20.531240667617865,интерполяция,20.53124066761788
2023,Психические и поведенческие расстройства вследствие алкоголя (F10),0,482192.0,0.0,интерполяция,0.0
2024,Алкогольная дегенерация нервной системы (G31.2),26,482192.0,5.3920430036168145,интерполяция,5.392043003616816
2024,Алкогольная кардиомиопатия (I42.6),33,482192.0,6.843746889205956,интерполяция,6.843746889205959
2024,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,интерполяция,0.0
2024,Острое токсическое действие алкоголя (T51),70,482192.0,14.51703885589142,интерполяция,14.517038855891428
2024,Психические и поведенческие расстройства вследствие алкоголя (F10),0,482192.0,0.0,интерполяция,0.0
2025,Алкогольная дегенерация нервной системы (G31.2),41,482192.0,8.502837044164975,точный,8.502837044164979
2025,Алкогольная кардиомиопатия (I42.6),23,482192.0,4.769884195507182,точный,4.769884195507184
2025,Алкогольная полинейропатия (G62.1),0,482192.0,0.0,точный,0.0
2025,Острое токсическое действие алкоголя (T51),64,482192.0,13.272721239672157,точный,13.272721239672165
2025,Психические и поведенческие расстройства вследствие алкоголя (F10),0,482192.0,0.0,точный,0.0
