year,deaths,population,asmr_per100k,population_status,crude_rate_per100k
2016,143,482192.0,29.656236519892474,точный,29.65623651989249
2017,184,482192.0,38.15907356405745,интерполяция,38.15907356405747
2018,181,482192.0,37.53691475594781,интерполяция,37.53691475594784
2019,179,482192.0,37.122142217208065,интерполяция,37.122142217208086
2020,180,482192.0,37.329528486577935,точный,37.32952848657796
2021,157,482192.0,32.559644291070754,интерполяция,32.559644291070775
2022,127,482192.0,26.338056209974436,интерполяция,26.338056209974447
2023,156,482192.0,32.35225802170088,интерполяция,32.3522580217009
2024,129,482192.0,26.75282874871419,интерполяция,26.752828748714204
2025,128,482192.0,26.545442479344317,точный,26.54544247934433
