Группа первоначальной причины,Позиция,Код,Расшифровка,Смертей,Доля внутри группы
Алкогольная дегенерация нервной системы (G31.2),Причина а,G93.6,Отек мозга,51,17.525773195876287
Алкогольная дегенерация нервной системы (G31.2),Причина а,J81,Отек легкого,41,14.0893470790378
Алкогольная дегенерация нервной системы (G31.2),Причина а,J18.2,"Гипостатическая пневмония, возбудитель не уточнен",19,6.529209621993128
Алкогольная дегенерация нервной системы (G31.2),Причина а,G93.5,Сдавление головного мозга,10,3.436426116838488
Алкогольная дегенерация нервной системы (G31.2),Причина а,R65.3,Синдром системной воспалительной реакции неинфекционного происхождения с органной недостаточностью,7,2.405498281786942
Алкогольная дегенерация нервной системы (G31.2),Причина а,R65.1,Синдром системной воспалительной реакции инфекционного происхождения с органной недостаточностью,3,1.0309278350515463
Алкогольная дегенерация нервной системы (G31.2),Причина б,G31.2,"Дегенерация нервной системы, вызванная алкоголем",2,0.6872852233676976
Алкогольная дегенерация нервной системы (G31.2),Причина в,G31.2,"Дегенерация нервной системы, вызванная алкоголем",231,79.38144329896907
Алкогольная дегенерация нервной системы (G31.2),Причина г,I11.9,Гипертензивная болезнь сердца без сердечной недостаточности,29,9.965635738831615
Алкогольная дегенерация нервной системы (G31.2),Причина г,F10.2,Алкогольная зависимость,25,8.59106529209622
Алкогольная дегенерация нервной системы (G31.2),Причина г,K86.1,Другой хронический панкреатит,10,3.436426116838488
Алкогольная дегенерация нервной системы (G31.2),Причина г,K76.0,Жировая дегенерация печени,7,2.405498281786942
Алкогольная дегенерация нервной системы (G31.2),Причина г,J44.8,Другая уточненная хроническая обструктивная болезнь легких,4,1.3745704467353952
Алкогольная дегенерация нервной системы (G31.2),Причина г,K70.0,Алкогольная жировая болезнь печени,4,1.3745704467353952
Алкогольная дегенерация нервной системы (G31.2),Прочие состояния,G31.2,"Дегенерация нервной системы, вызванная алкоголем",60,20.618556701030926
Алкогольная дегенерация нервной системы (G31.2),Прочие состояния,J18.2,"Гипостатическая пневмония, возбудитель не уточнен",39,13.402061855670103
Алкогольная дегенерация нервной системы (G31.2),Прочие состояния,J18.1,"Долевая пневмония, возбудитель не уточнен",11,3.7800687285223367
Алкогольная дегенерация нервной системы (G31.2),Прочие состояния,G93.6,Отек мозга,10,3.436426116838488
Алкогольная дегенерация нервной системы (G31.2),Прочие состояния,G91.1,Обструктивная гидроцефалия,5,1.718213058419244
Алкогольная дегенерация нервной системы (G31.2),Прочие состояния,N26,Сморщенная почка неуточненная,1,0.3436426116838488
Алкогольная кардиомиопатия (I42.6),Причина а,J81,Отек легкого,76,25.850340136054424
Алкогольная кардиомиопатия (I42.6),Причина а,G93.6,Отек мозга,13,4.421768707482993
Алкогольная кардиомиопатия (I42.6),Причина а,R57.0,Кардиогенный шок,9,3.061224489795918
Алкогольная кардиомиопатия (I42.6),Причина а,I42.6,Алкогольная кардиомиопатия,6,2.0408163265306123
Алкогольная кардиомиопатия (I42.6),Причина а,I26.9,Легочная эмболия без уточнения,3,1.0204081632653061
Алкогольная кардиомиопатия (I42.6),Причина а,I50.1,Левожелудочковая недостаточность,3,1.0204081632653061
Алкогольная кардиомиопатия (I42.6),Причина в,I42.6,Алкогольная кардиомиопатия,183,62.244897959183675
Алкогольная кардиомиопатия (I42.6),Причина г,F10.2,Алкогольная зависимость,7,2.380952380952381
Алкогольная кардиомиопатия (I42.6),Причина г,I11.9,Гипертензивная болезнь сердца без сердечной недостаточности,6,2.0408163265306123
Алкогольная кардиомиопатия (I42.6),Причина г,F10.1,Алкогольная зависимость,6,2.0408163265306123
Алкогольная кардиомиопатия (I42.6),Причина г,K76.0,Жировая дегенерация печени,5,1.7006802721088436
Алкогольная кардиомиопатия (I42.6),Причина г,G31.2,"Дегенерация нервной системы, вызванная алкоголем",3,1.0204081632653061
Алкогольная кардиомиопатия (I42.6),Причина г,K74.6,Другой и неуточненный цирроз печени,2,0.6802721088435374
Алкогольная кардиомиопатия (I42.6),Прочие состояния,I42.6,Алкогольная кардиомиопатия,105,35.714285714285715
Алкогольная кардиомиопатия (I42.6),Прочие состояния,I48.1,Персистирующая фибрилляция предсердий,4,1.3605442176870748
Алкогольная кардиомиопатия (I42.6),Прочие состояния,I48.0,Пароксизмальная фибрилляция предсердий,1,0.3401360544217687
Алкогольная кардиомиопатия (I42.6),Прочие состояния,R00.8,Другие нарушения сердечного ритма,1,0.3401360544217687
Алкогольная кардиомиопатия (I42.6),Прочие состояния,I51.7,Кардиомегалия,1,0.3401360544217687
Алкогольная кардиомиопатия (I42.6),Прочие состояния,J18.1,"Долевая пневмония, возбудитель не уточнен",1,0.3401360544217687
Алкогольная полинейропатия (G62.1),Причина в,G62.1,Алкогольная полинейропатия,2,100.0
Острое токсическое действие алкоголя (T51),Причина а,T51.0,Токсическое действие этанола,250,26.737967914438503
Острое токсическое действие алкоголя (T51),Причина а,T51.2,Токсическое действие 2-пропанола,57,6.096256684491978
Острое токсическое действие алкоголя (T51),Причина а,T51.1,Токсическое действие метанола,10,1.06951871657754
Острое токсическое действие алкоголя (T51),Причина а,T51.3,Токсическое действие сивушных масел,5,0.53475935828877
Острое токсическое действие алкоголя (T51),Причина а,T51.9,Токсическое действие спирта неуточненного,4,0.42780748663101603
Острое токсическое действие алкоголя (T51),Причина а,T51.8,Токсическое действие других спиртов,2,0.21390374331550802
Острое токсическое действие алкоголя (T51),Причина б,Y15.0,"Y15: отравление алкоголем, намерение не установлено, место 0",271,28.983957219251337
Острое токсическое действие алкоголя (T51),Причина б,Y15.9,"Y15: отравление алкоголем, намерение не установлено, место не уточнено",30,3.2085561497326207
Острое токсическое действие алкоголя (T51),Причина б,Y15.4,"Y15: отравление алкоголем, намерение не установлено, место 4",17,1.8181818181818181
Острое токсическое действие алкоголя (T51),Причина б,Y15.8,"Y15: отравление алкоголем, намерение не установлено, место 8",5,0.53475935828877
Острое токсическое действие алкоголя (T51),Причина б,Y15.5,"Y15: отравление алкоголем, намерение не установлено, место 5",5,0.53475935828877
Острое токсическое действие алкоголя (T51),Причина б,Y15.1,"Y15: отравление алкоголем, намерение не установлено, место 1",2,0.21390374331550802
Острое токсическое действие алкоголя (T51),Причина в,T51.0,Токсическое действие этанола,505,54.01069518716578
Острое токсическое действие алкоголя (T51),Причина в,T51.2,Токсическое действие 2-пропанола,34,3.6363636363636362
Острое токсическое действие алкоголя (T51),Причина в,T51.9,Токсическое действие спирта неуточненного,23,2.4598930481283423
Острое токсическое действие алкоголя (T51),Причина в,T51.1,Токсическое действие метанола,18,1.9251336898395723
Острое токсическое действие алкоголя (T51),Причина в,T51.3,Токсическое действие сивушных масел,14,1.4973262032085561
Острое токсическое действие алкоголя (T51),Причина в,T51.8,Токсическое действие других спиртов,10,1.06951871657754
Острое токсическое действие алкоголя (T51),Причина г,Y15.0,"Y15: отравление алкоголем, намерение не установлено, место 0",438,46.844919786096256
Острое токсическое действие алкоголя (T51),Причина г,Y15,"Отравление алкоголем / воздействие алкоголя, намерение не установлено",108,11.550802139037433
Острое токсическое действие алкоголя (T51),Причина г,Y15.9,"Y15: отравление алкоголем, намерение не установлено, место не уточнено",27,2.8877005347593583
Острое токсическое действие алкоголя (T51),Причина г,Y15.8,"Y15: отравление алкоголем, намерение не установлено, место 8",10,1.06951871657754
Острое токсическое действие алкоголя (T51),Причина г,Y15.2,"Y15: отравление алкоголем, намерение не установлено, место 2",8,0.8556149732620321
Острое токсическое действие алкоголя (T51),Причина г,Y15.4,"Y15: отравление алкоголем, намерение не установлено, место 4",5,0.53475935828877
Острое токсическое действие алкоголя (T51),Прочие состояния,R40.2,Кома неуточненная,2,0.21390374331550802
Острое токсическое действие алкоголя (T51),Прочие состояния,K85.1,Билиарный острый панкреатит,1,0.10695187165775401
Острое токсическое действие алкоголя (T51),Прочие состояния,T51.1,Токсическое действие метанола,1,0.10695187165775401
Острое токсическое действие алкоголя (T51),Прочие состояния,T51.2,Токсическое действие 2-пропанола,1,0.10695187165775401
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина а,F10.1,Алкогольная зависимость,1,1.1494252873563218
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина а,K70.4,Алкогольная печеночная недостаточность,1,1.1494252873563218
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина б,F10.1,Алкогольная зависимость,1,1.1494252873563218
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина в,F10.1,Алкогольная зависимость,49,56.32183908045977
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина в,F10.2,Алкогольная зависимость,34,39.08045977011494
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина в,F10.3,Алкогольное состояние абстиненции,2,2.2988505747126435
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина в,F10.0,Алкогольная интоксикация,1,1.1494252873563218
Психические и поведенческие расстройства вследствие алкоголя (F10),Причина в,F10.4,Алкогольное состояние абстиненции с делирием,1,1.1494252873563218
