Позиция,Семейство,Смертей,Доля от всех строк
Причина а,Токсическое действие алкоголя (T51),329,20.447482908638907
Причина а,Отек легкого (J81),117,7.271597265382225
Причина а,Отек мозга (G93.6),64,3.9776258545680543
Причина а,Пневмонии (J18),20,1.2430080795525171
Причина а,Шок (R57),12,0.7458048477315102
Причина а,Сдавление мозга (G93.5),11,0.6836544437538844
Причина а,Системная воспалительная реакция (R65),11,0.6836544437538844
Причина а,Другие болезни системы кровообращения (I),9,0.5593536357986327
Причина а,Алкогольная кардиомиопатия (I42.6),6,0.3729024238657551
Причина а,Сердечная недостаточность (I50),6,0.3729024238657551
Причина а,Другие коды A,2,0.1243008079552517
Причина а,"Болезни печени, поджелудочной и пищеварения (K)",2,0.1243008079552517
Причина а,Другие коды L,2,0.1243008079552517
Причина а,Болезни мочеполовой системы (N),2,0.1243008079552517
Причина а,Алкогольные психические/поведенческие расстройства (F10),1,0.06215040397762585
Причина а,Алкогольная дегенерация нервной системы (G31.2),1,0.06215040397762585
Причина а,Симптомы и неточные причины (R),1,0.06215040397762585
Причина б,Внешняя причина отравления алкоголем (Y15),331,20.571783716594158
Причина б,Алкогольная дегенерация нервной системы (G31.2),2,0.1243008079552517
Причина б,Алкогольные психические/поведенческие расстройства (F10),1,0.06215040397762585
Причина б,Токсическое действие алкоголя (T51),1,0.06215040397762585
Причина в,Токсическое действие алкоголя (T51),607,37.72529521441889
Причина в,Алкогольная дегенерация нервной системы (G31.2),231,14.356743318831573
Причина в,Алкогольная кардиомиопатия (I42.6),183,11.37352392790553
Причина в,Алкогольные психические/поведенческие расстройства (F10),87,5.40708514605345
Причина в,Алкогольная полинейропатия (G62.1),2,0.1243008079552517
Причина г,Внешняя причина отравления алкоголем (Y15),598,37.16594157862026
Причина г,Алкогольные психические/поведенческие расстройства (F10),45,2.7967681789931635
Причина г,Другие болезни системы кровообращения (I),43,2.6724673710379117
Причина г,"Болезни печени, поджелудочной и пищеварения (K)",37,2.2995649471721564
Причина г,Болезни мочеполовой системы (N),7,0.435052827843381
Причина г,Другие коды B,6,0.3729024238657551
Причина г,Другие болезни органов дыхания (J),6,0.3729024238657551
Причина г,Алкогольная кардиомиопатия (I42.6),4,0.2486016159105034
Причина г,Другие коды Y,4,0.2486016159105034
Причина г,Алкогольная дегенерация нервной системы (G31.2),3,0.18645121193287756
Причина г,Другие коды G,2,0.1243008079552517
Причина г,Другие коды X,2,0.1243008079552517
Причина г,Другие коды E,1,0.06215040397762585
Причина г,Другие коды C,1,0.06215040397762585
Причина г,Другие коды D,1,0.06215040397762585
Прочие состояния,Алкогольная кардиомиопатия (I42.6),105,6.525792417650715
Прочие состояния,Алкогольная дегенерация нервной системы (G31.2),60,3.7290242386575514
Прочие состояния,Пневмонии (J18),51,3.1696706028589183
Прочие состояния,Отек мозга (G93.6),10,0.6215040397762586
Прочие состояния,Другие болезни системы кровообращения (I),8,0.4972032318210068
Прочие состояния,Другие коды G,6,0.3729024238657551
Прочие состояния,Болезни мочеполовой системы (N),4,0.2486016159105034
Прочие состояния,Симптомы и неточные причины (R),3,0.18645121193287756
Прочие состояния,Другие коды L,2,0.1243008079552517
Прочие состояния,Токсическое действие алкоголя (T51),2,0.1243008079552517
Прочие состояния,Сдавление мозга (G93.5),1,0.06215040397762585
Прочие состояния,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
