Позиция,Семейство кодов,Смертей,Доля от всех,Доля среди заполненных
Причина а,Токсическое действие алкоголя (T51),329,20.447482908638907,55.20134228187919
Причина а,Отек легкого (J81),117,7.271597265382225,19.630872483221477
Причина а,Отек мозга (G93.6),64,3.9776258545680543,10.738255033557047
Причина а,Пневмония (J18),20,1.2430080795525171,3.3557046979865772
Причина а,Шок (R57),12,0.7458048477315102,2.013422818791946
Причина а,Сдавление мозга (G93.5),11,0.6836544437538844,1.8456375838926176
Причина а,Системная воспалительная реакция (R65),11,0.6836544437538844,1.8456375838926176
Причина а,Другие болезни системы кровообращения (I),9,0.5593536357986327,1.5100671140939599
Причина а,Алкогольная кардиомиопатия (I42.6),6,0.3729024238657551,1.006711409395973
Причина а,Сердечная недостаточность (I50),6,0.3729024238657551,1.006711409395973
Причина а,Другие коды A,2,0.1243008079552517,0.33557046979865773
Причина б,"Внешняя причина: алкоголь, намерение не установлено (Y15)",331,20.571783716594158,98.80597014925372
Причина б,Алкогольная дегенерация нервной системы (G31.2),2,0.1243008079552517,0.5970149253731344
Причина б,Алкогольные психические/поведенческие расстройства (F10),1,0.06215040397762585,0.2985074626865672
Причина б,Токсическое действие алкоголя (T51),1,0.06215040397762585,0.2985074626865672
Причина в,Токсическое действие алкоголя (T51),607,37.72529521441889,54.68468468468468
Причина в,Алкогольная дегенерация нервной системы (G31.2),231,14.356743318831573,20.81081081081081
Причина в,Алкогольная кардиомиопатия (I42.6),183,11.37352392790553,16.486486486486488
Причина в,Алкогольные психические/поведенческие расстройства (F10),87,5.40708514605345,7.837837837837839
Причина в,Алкогольная полинейропатия (G62.1),2,0.1243008079552517,0.18018018018018017
Причина г,"Внешняя причина: алкоголь, намерение не установлено (Y15)",598,37.16594157862026,78.6842105263158
Причина г,Алкогольные психические/поведенческие расстройства (F10),45,2.7967681789931635,5.921052631578947
Причина г,Другие болезни системы кровообращения (I),43,2.6724673710379117,5.657894736842105
Причина г,Болезни печени/поджелудочной/пищеварения (K),37,2.2995649471721564,4.868421052631579
Причина г,Болезни мочеполовой системы (N),7,0.435052827843381,0.9210526315789472
Причина г,Другие коды B,6,0.3729024238657551,0.7894736842105263
Причина г,Другие болезни органов дыхания (J),6,0.3729024238657551,0.7894736842105263
Причина г,Алкогольная кардиомиопатия (I42.6),4,0.2486016159105034,0.5263157894736842
Причина г,Другие коды Y,4,0.2486016159105034,0.5263157894736842
Причина г,Алкогольная дегенерация нервной системы (G31.2),3,0.18645121193287756,0.39473684210526316
Причина г,Другие коды G,2,0.1243008079552517,0.2631578947368421
Прочие состояния,Алкогольная кардиомиопатия (I42.6),105,6.525792417650715,41.50197628458498
Прочие состояния,Алкогольная дегенерация нервной системы (G31.2),60,3.7290242386575514,23.715415019762844
Прочие состояния,Пневмония (J18),51,3.1696706028589183,20.158102766798418
Прочие состояния,Отек мозга (G93.6),10,0.6215040397762586,3.9525691699604746
Прочие состояния,Другие болезни системы кровообращения (I),8,0.4972032318210068,3.1620553359683794
Прочие состояния,Другие коды G,6,0.3729024238657551,2.371541501976284
Прочие состояния,Болезни мочеполовой системы (N),4,0.2486016159105034,1.5810276679841897
Прочие состояния,Симптомы и неточные причины (R),3,0.18645121193287756,1.185770750988142
Прочие состояния,Другие коды L,2,0.1243008079552517,0.7905138339920948
Прочие состояния,Токсическое действие алкоголя (T51),2,0.1243008079552517,0.7905138339920948
Прочие состояния,Сдавление мозга (G93.5),1,0.06215040397762585,0.3952569169960474
