primary_code,deaths,diagnosis,group,median_age,male,female,first_year,last_year,share
T51.0,754,Токсическое действие этанола,Острое токсическое действие алкоголя (T51),51.0,578,176,2016,2026,46.8614045991299
I42.6,294,Алкогольная кардиомиопатия,Алкогольная кардиомиопатия (I42.6),54.0,233,61,2016,2026,18.272218769422004
G31.2,291,"Дегенерация нервной системы, вызванная алкоголем",Алкогольная дегенерация нервной системы (G31.2),60.0,201,90,2016,2026,18.085767557489124
T51.2,92,Токсическое действие 2-пропанола,Острое токсическое действие алкоголя (T51),48.5,74,18,2018,2026,5.717837165941578
F10.1,49,Алкогольная зависимость,Психические и поведенческие расстройства вследствие алкоголя (F10),58.0,33,16,2017,2018,3.045369794903667
F10.2,34,Алкогольная зависимость,Психические и поведенческие расстройства вследствие алкоголя (F10),56.5,24,10,2017,2019,2.113113735239279
T51.1,29,Токсическое действие метанола,Острое токсическое действие алкоголя (T51),44.0,22,7,2016,2026,1.8023617153511498
T51.9,26,Токсическое действие спирта неуточненного,Острое токсическое действие алкоголя (T51),45.5,21,5,2016,2022,1.6159105034182724
T51.3,19,Токсическое действие сивушных масел,Острое токсическое действие алкоголя (T51),43.0,9,10,2016,2024,1.1808576755748912
T51.8,12,Токсическое действие других спиртов,Острое токсическое действие алкоголя (T51),50.5,9,3,2016,2024,0.7458048477315102
T51,3,Токсическое действие алкоголя,Острое токсическое действие алкоголя (T51),39.0,2,1,2016,2016,0.18645121193287756
F10.3,2,Алкогольное состояние абстиненции,Психические и поведенческие расстройства вследствие алкоголя (F10),65.5,2,0,2017,2020,0.1243008079552517
G62.1,2,Алкогольная полинейропатия,Алкогольная полинейропатия (G62.1),64.5,1,1,2017,2018,0.1243008079552517
F10.4,1,Алкогольное состояние абстиненции с делирием,Психические и поведенческие расстройства вследствие алкоголя (F10),54.0,1,0,2016,2016,0.06215040397762585
F10.0,1,Алкогольная интоксикация,Психические и поведенческие расстройства вследствие алкоголя (F10),40.0,1,0,2017,2017,0.06215040397762585
